feed_date,region,family,selected_count
2026-09-07,Sussex,customer_service_contact_centre,4
2026-09-07,Wales - Mid,service_admin,0
2026-09-07,Wales - Mid,support_worker,0
2026-09-07,Wales - Mid,customer_sales,0
2026-09-07,Wales - Mid,legal_assistant_paralegal,0
2026-09-07,Wales - Mid,marketing,0
2026-09-07,Wales - Mid,finance_accounts,0
2026-09-07,Wales - Mid,hr_recruitment,0
2026-09-07,Wales - Mid,customer_service_contact_centre,0
2026-09-07,Wales - West,service_admin,3
2026-09-07,Wales - West,support_worker,0
2026-09-07,Wales - West,customer_sales,0
2026-09-07,Wales - West,legal_assistant_paralegal,0
2026-09-07,Wales - West,marketing,0
2026-09-07,Wales - West,finance_accounts,0
2026-09-07,Wales - West,hr_recruitment,1
2026-09-07,Wales - West,customer_service_contact_centre,0
2026-09-07,Wales South - Cardiff & Vale,service_admin,9
2026-09-07,Wales South - Cardiff & Vale,support_worker,0
2026-09-07,Wales South - Cardiff & Vale,customer_sales,4
2026-09-07,Wales South - Cardiff & Vale,legal_assistant_paralegal,2
2026-09-07,Wales South - Cardiff & Vale,marketing,1
2026-09-07,Wales South - Cardiff & Vale,finance_accounts,0
2026-09-07,Wales South - Cardiff & Vale,hr_recruitment,0
2026-09-07,Wales South - Cardiff & Vale,customer_service_contact_centre,0
2026-09-07,Wales South - Gwent,service_admin,3
2026-09-07,Wales South - Gwent,support_worker,0
2026-09-07,Wales South - Gwent,customer_sales,0
2026-09-07,Wales South - Gwent,legal_assistant_paralegal,2
2026-09-07,Wales South - Gwent,marketing,0
2026-09-07,Wales South - Gwent,finance_accounts,0
2026-09-07,Wales South - Gwent,hr_recruitment,0
2026-09-07,Wales South - Gwent,customer_service_contact_centre,0
2026-09-07,Wales South - Swansea Bay,service_admin,2
2026-09-07,Wales South - Swansea Bay,support_worker,0
2026-09-07,Wales South - Swansea Bay,customer_sales,2
2026-09-07,Wales South - Swansea Bay,legal_assistant_paralegal,1
2026-09-07,Wales South - Swansea Bay,marketing,1
2026-09-07,Wales South - Swansea Bay,finance_accounts,0
2026-09-07,Wales South - Swansea Bay,hr_recruitment,0
2026-09-07,Wales South - Swansea Bay,customer_service_contact_centre,0
2026-09-07,Wales South - Valleys,service_admin,1
2026-09-07,Wales South - Valleys,support_worker,0
